,precision,recall,f1-score,support,Overall
ATTRIBUTION,0.8,0.7163323782234957,0.7558578987150416,698.0,
CITATION,0.8641025641025641,0.9546742209631728,0.9071332436069985,353.0,
COUNTER,0.8301075268817204,0.8812785388127854,0.8549280177187154,438.0,
DENY,0.839622641509434,0.7542372881355932,0.7946428571428571,236.0,
ENDOPHORIC,0.86,0.7644444444444445,0.8094117647058824,225.0,
ENTERTAIN,0.850609756097561,0.8378378378378378,0.8441754916792739,999.0,
JUSTIFYING,0.8535211267605634,0.5580110497237569,0.6748329621380846,543.0,
MONOGLOSS,0.7443519619500595,0.8517006802721089,0.7944162436548223,735.0,
PROCLAIM,0.7762711864406779,0.7111801242236024,0.7423014586709887,322.0,
SOURCES,0.7729885057471264,0.682741116751269,0.725067385444744,394.0,
_,0.0,0.0,0.0,492.0,
accuracy,0.7059797608095676,0.7059797608095676,0.7059797608095676,0.7059797608095676,0.7059797608095676
macro avg,0.7446886608627005,0.7011306981261879,0.7184333930434007,5435.0,
weighted avg,0.7421348387861333,0.7059797608095676,0.71946234676612,5435.0,
kappa,,,,,0.669595373567531
MCC,,,,,0.6710046796217312
